sens_start,location,type,place,obs,activity
2011-12-09 18:02:18,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-09 18:32:02,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-09 18:48:30,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-09 19:19:54,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-09 21:04:37,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-09 21:04:59,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-10 00:16:31,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-10 00:17:05,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-10 00:50:47,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-12-10 09:37:16,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-12-10 09:37:26,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-10 09:46:00,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-12-10 09:46:23,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-10 09:47:44,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-12-10 09:55:18,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-10 09:55:50,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-12-10 09:56:27,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-10 09:56:33,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-10 09:56:58,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-12-10 09:58:21,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Breakfast
2011-12-10 10:03:20,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-10 12:52:54,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-10 13:04:03,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-10 17:06:58,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-10 17:11:23,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-10 20:21:54,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-10 20:25:40,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-11 00:56:01,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-11 01:01:41,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-11 02:31:15,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-12-11 12:02:25,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-11 12:02:56,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-12-11 12:21:57,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-12-11 12:22:01,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-11 12:22:07,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-11 12:23:14,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-12-11 12:32:49,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-11 14:34:12,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-11 14:36:58,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Lunch
2011-12-11 14:37:04,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-11 14:43:05,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-11 14:49:47,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-11 15:13:52,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-11 15:29:03,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-12-11 15:41:34,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-11 15:43:51,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
